"Fterm","classlvl.x","cnt.x","1.x","2.x","3.x","4.x","g-p.x","master.x","Phd.x","spcl.x","new.x","cnt.y.x","1.y","2.y","3.y","4.y","g-p.y","master.y","Phd.y","spcl.y","new.y","cnt.y.y","FTDCU","Grad","Transfer"
1074,"spcl",300,0.03,0.00333333333333333,0.00666666666666667,0,0,0.0266666666666667,0.00333333333333333,0.373333333333333,119,231,0.0909090909090909,0.0303030303030303,0.012987012987013,0.0216450216450216,0,0.0216450216450216,0.0173160173160173,0.510822510822511,232,351,7318,1634,1401
1084,"1",9229,0.74406761295915,0.207498103803229,0.000325062303608192,0,0,0,0,0.000108354101202731,281,7161,0.217567378857701,0.710375645859517,0.0023739701159056,0,0,0,0,0,7598,9194,7337,1737,1473
1084,"2",8079,0.000371333085777943,0.679787102364154,0.278499814333457,0.000495110781037257,0,0.000123777695259314,0,0,194,7605,0.000262984878369494,0.25180802103879,0.68836291913215,0.00144641683103222,0,0.000131492439184747,0,0.000131492439184747,1006,8021,7337,1737,1473
1084,"3",8978,0,0.000111383381599465,0.683448429494319,0.292047226553798,0,0,0,0,192,8582,0.000233045910044279,0.000349568865066418,0.363085527848986,0.609881146585877,0.000815660685154976,0,0,0,501,8878,7337,1737,1473
1084,"4",9700,0.000206185567010309,0,0,0.81319587628866,0.000103092783505155,0.00494845360824742,0.000309278350515464,0,259,10780,0.000185528756957328,0,9.27643784786642e-05,0.427736549165121,0.0098330241187384,0.0701298701298701,0.0012987012987013,0,260,10131,7337,1737,1473
1084,"g-p",1822,0,0,0,0,0.991218441273326,0,0.000548847420417124,0,8,1818,0,0,0,0,0.923542354235424,0.00165016501650165,0.00055005500550055,0,188,1993,7337,1737,1473
1084,"master",5151,0,0.0001941370607649,0.0001941370607649,0.0011648223645894,0.0005824111822947,0.780430984274898,0.0071830712483013,0.0001941370607649,838,4924,0.000203086921202275,0.000203086921202275,0.000203086921202275,0.00284321689683184,0.00182778229082047,0.598903330625508,0.0213241267262388,0,1662,5406,7337,1737,1473
1084,"Phd",3338,0,0,0,0.000299580587177951,0,0.00419412822049131,0.919712402636309,0,119,3230,0,0,0,0,0.00123839009287926,0.00897832817337461,0.835913312693498,0,567,3390,7337,1737,1473
1084,"spcl",351,0.0227920227920228,0.0056980056980057,0,0,0,0.00854700854700855,0,0.290598290598291,218,322,0.0962732919254658,0.0279503105590062,0.0217391304347826,0.0031055900621118,0,0.0186335403726708,0.0093167701863354,0.152173913043478,215,265,7337,1737,1473
1094,"1",9194,0.730802697411355,0.214705242549489,0.000435066347618012,0,0,0.000108766586904503,0,0,241,6973,0.229599885271763,0.687939194034132,0.00172092356231177,0.000573641187437258,0.000143410296859315,0,0,0,7463,9110,7209,1801,1546
1094,"2",8021,0.000124672734073058,0.660890163321282,0.304450816606408,0.000498690936292233,0,0,0,0,177,7455,0.000670690811535882,0.260764587525151,0.677800134138162,0.000536552649228706,0,0,0,0,986,7734,7209,1801,1546
1094,"3",8878,0.000112637981527371,0.000112637981527371,0.681121874296013,0.293534579860329,0,0,0,0,162,8659,0.000115486776764061,0,0.376602379027601,0.594063979674327,0.000230973553528121,0,0,0,536,8872,7209,1801,1546
1094,"4",10131,9.87069390978186e-05,0,0.000197413878195637,0.804165432829928,0,0.00631724410226039,9.87069390978186e-05,0,239,11003,0.000272652912841952,0,9.08843042806507e-05,0.416431882213942,0.011451422339362,0.0648913932563846,0.00163591747705171,0,299,10049,7209,1801,1546
1094,"g-p",1993,0,0,0,0.000501756146512795,0.993978926241846,0,0,0,9,1992,0,0,0,0,0.903614457831325,0.00251004016064257,0.00100401606425703,0,233,2175,7209,1801,1546
1094,"master",5406,0,0,0,0.00110987791342952,0.000184979652238254,0.811505734369219,0.00684424713281539,0,903,5378,0.000371885459278542,0,0.000185942729639271,0.00278914094458907,0.00241725548531052,0.593157307549275,0.0189661584232057,0,1576,5514,7209,1801,1546
1094,"Phd",3390,0,0.000294985250737463,0,0,0.000294985250737463,0.00530973451327434,0.923008849557522,0,121,3289,0,0,0,0,0,0.00577683186378839,0.856795378534509,0,444,3384,7209,1801,1546
1094,"spcl",265,0.0377358490566038,0.00377358490566038,0.00754716981132075,0,0,0.0188679245283019,0.00377358490566038,0.418867924528302,117,228,0.153508771929825,0.0307017543859649,0.0350877192982456,0.0043859649122807,0,0.043859649122807,0,0.315789473684211,221,293,7209,1801,1546
1104,"1",9110,0.730296377607025,0.211635565312843,0.00834248079034029,0.000109769484083425,0,0,0,0,409,7073,0.237098826523399,0.682030255902729,0.00226212356849993,0,0,0.000282765446062491,0,0,7993,9713,7174,1648,1448
